ID,ideology,leadership,name,party,description,introduced_bills_119,cosponsored_bills_119,unique_cosponsors_119,total_cosponsors_119
412782,0.1240703762404361,0.7486021974122267,Pressley,Democrat,progressive Democratic leader,35,256,222,996
412708,0.17226003735646653,0.6629627693182163,Raskin,Democrat,progressive Democrat,32,299,203,810
412717,0.4039806754479483,0.691012245094227,Suozzi,Democrat,centrist Democratic leader,24,552,124,180
412319,0.205139616694338,0.7035807361553971,Tonko,Democrat,moderate Democratic leader,20,573,210,359
456838,0.2388292869813121,0.5322547644378494,Torres [NY15],Democrat,rank-and-file Democrat,49,361,134,211
400422,0.21039160731435574,0.6300956575127309,Waters,Democrat,rank-and-file Democrat,43,205,160,607
412317,0.6757496455712493,0.7043134692903611,Thompson [PA15],Republican,moderate Republican leader,44,229,212,404
412272,0.22739497358937338,0.8482820660105453,Connolly,Democrat,moderate Democratic leader,27,154,213,664
412607,0.2021223163641832,0.7073972404254102,Adams,Democrat,moderate Democratic leader,21,315,167,504
412677,0.12116594169737895,0.34988533239860087,Evans [PA3],Democrat,progressive Democrat,13,510,99,158
412199,0.09893932286264027,0.7848136620877142,Johnson [GA4],Democrat,progressive Democratic leader,17,795,198,598
400259,0.1951280890115289,0.39411153117401715,McCollum,Democrat,rank-and-file Democrat,9,361,86,120
400363,0.2926547160249255,0.5615197887964708,Scott [GA13],Democrat,rank-and-file Democrat,18,194,122,252
412318,0.23370356116763094,0.6824138188021245,Titus,Democrat,moderate Democratic leader,48,682,211,581
412617,0.2685547992655861,0.6081113275246486,Torres [CA35],Democrat,rank-and-file Democrat,35,217,166,309
412522,0.18813388318667443,0.3831196034205548,Vargas,Democrat,progressive Democrat,12,349,74,126
412815,0.7226563212593621,0.22782839122629295,Timmons,Republican,moderate Republican follower,12,154,49,54
400663,0.24509328495024651,0.6450558144971157,Matsui,Democrat,rank-and-file Democrat,24,312,140,292
400069,0.33347142100787897,0.315396790854824,Case,Democrat,rank-and-file Democrat,28,382,65,132
412505,0.26203864463072246,0.6768715700965747,DelBene,Democrat,rank-and-file Democrat,14,513,158,256
412637,0.27242535537350526,0.7938171156389129,Dingell,Democrat,moderate Democratic leader,61,523,242,669
412810,0.4246569662321476,0.6182127652979079,Houlahan,Democrat,centrist Democrat,31,326,179,337
400623,0.2951450507881944,0.7787116203457408,Wasserman Schultz,Democrat,moderate Democratic leader,21,365,253,466
412819,0.6752133321456807,0.5738556279282516,Green [TN7],Republican,rank-and-file Republican,23,81,79,105
407672,0.20719734356402597,0.4504048702743373,Mfume,Democrat,rank-and-file Democrat,15,301,131,341
