fips,state,district_ids,margin,competitive,p1_data_tier,margin_stale,source,vintage
28027,MS,,53.133,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28029,MS,,12.793,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28031,MS,,-14.0,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28033,MS,,-16.769,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28035,MS,,0.734,True,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28037,MS,,-19.074,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28039,MS,,-66.844,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28041,MS,,-46.249,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28043,MS,,7.393,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28045,MS,,-43.639,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28047,MS,,-13.724,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28049,MS,,59.195,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28051,MS,,70.196,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28053,MS,,54.286,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28055,MS,,8.625,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28057,MS,,-51.275,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28059,MS,,-25.366,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28061,MS,,13.302,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28063,MS,,77.0,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28065,MS,,30.037,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28067,MS,,-32.262,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28069,MS,,28.659,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
28071,MS,,-4.205,False,gubernatorial,False,MS 2023 gubernatorial (Reeves R def. Presley D); county-level via OpenElections 20231107__ms__general__county.csv,2023
