member_id,member_name,state,party,chamber,district,vote_id,vote_name,congress,vote_position,is_pro_labor,is_not_voting
S362,Timothy Kaine,VA,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S406,Mark Kelly,AZ,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S389,John Kennedy,LA,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S363,Angus King,ME,I,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S311,Amy Klobuchar,MN,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S378,James Lankford,OK,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S057,Patrick Leahy,VT,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S346,Mike Lee,UT,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S409,Ben Lujan,NM,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S410,Cynthia Lummis,WY,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S338,Joseph Manchin,WV,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S369,Edward Markey,MA,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S411,Roger Marshall,KS,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S174,Mitch McConnell,KY,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S306,Robert Menendez,NJ,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S322,Jeff Merkley,OR,D,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,yes,True,False
S347,Jerry Moran,KS,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
S288,Lisa Murkowski,AK,R,senate,,sanders_min_wage_117,Sanders Minimum Wage Amendment,117,no,False,False
