bioguide_id,name,state,party,chamber,district,key_vote_score,ideology_score,inverse_ideology_score,p2_combined,coverage_type
P000034,"Frank Pallone, Jr.",NJ,D,house,6,1.0,0.2553106733358488,0.7446893266641512,0.897876,both
S000522,Christopher H. Smith,NJ,R,house,4,1.0,0.6465793491837347,0.3534206508162653,0.741368,both
V000133,Jefferson Van Drew,NJ,R,house,2,1.0,0.7563844439446199,0.2436155560553801,0.697446,both
W000822,Bonnie Watson Coleman,NJ,D,house,12,1.0,0.0776346895454302,0.9223653104545698,0.968946,both
S409,Ben Lujan,NM,D,senate,,1.0,0.2643418348708425,0.7356581651291575,0.894263,both
L000273,Teresa Leger Fernandez,NM,D,house,3,1.0,0.24922877410748814,0.7507712258925119,0.900308,both
S359,Martin Heinrich,NM,D,senate,,1.0,0.25298075971823686,0.7470192402817631,0.898808,both
A000369,Mark E. Amodei,NV,R,house,2,0.0,0.585794556747653,0.414205443252347,0.165682,both
S385,Catherine Cortez Masto,NV,D,senate,,1.0,0.37378985291902017,0.6262101470809798,0.850484,both
H001066,Steven Horsford,NV,D,house,4,1.0,0.2446395410858053,0.7553604589141947,0.902144,both
S402,Jacklyn Rosen,NV,D,senate,,1.0,0.3882508151391715,0.6117491848608285,0.8447,both
L000590,Susie Lee,NV,D,house,3,1.0,0.49847392965632575,0.5015260703436742,0.80061,both
T000468,Dina Titus,NV,D,house,1,1.0,0.23370356116763094,0.7662964388323691,0.906519,both
S270,Charles Schumer,NY,D,senate,,1.0,0.31118018574538653,0.6888198142546135,0.875528,both
C001067,Yvette D. Clarke,NY,D,house,9,1.0,0.13281690501118665,0.8671830949888133,0.946873,both
E000297,Adriano Espaillat,NY,D,house,13,1.0,0.12453546457818337,0.8754645354218167,0.950186,both
G000597,Andrew R. Garbarino,NY,R,house,2,0.5,0.6301082548911617,0.36989174510883827,0.447957,both
J000294,Hakeem S. Jeffries,NY,D,house,8,1.0,0.3101017483969177,0.6898982516030823,0.875959,both
S331,Kirsten Gillibrand,NY,D,senate,,1.0,0.23015466447741809,0.7698453355225819,0.907938,both
M000317,Nicole Malliotakis,NY,R,house,11,0.5,0.6746346207644215,0.3253653792355785,0.430146,both
M001137,Gregory W. Meeks,NY,D,house,5,1.0,0.24222944065664595,0.757770559343354,0.903108,both
M001188,Grace Meng,NY,D,house,6,1.0,0.1697149616425053,0.8302850383574947,0.932114,both
M001206,Joseph D. Morelle,NY,D,house,25,1.0,0.31543558692892026,0.6845644130710797,0.873826,both
N000002,Jerrold Nadler,NY,D,house,12,1.0,0.17880585020025416,0.8211941497997458,0.928478,both
O000172,Alexandria Ocasio-Cortez,NY,D,house,14,1.0,0.12962144382529567,0.8703785561747044,0.948151,both
S001196,Elise M. Stefanik,NY,R,house,21,0.0,0.7566004004672962,0.24339959953270385,0.09736,both
S001201,Thomas R. Suozzi,NY,D,house,3,1.0,0.4039806754479483,0.5960193245520518,0.838408,both
T000478,Claudia Tenney,NY,R,house,24,0.0,0.8917727193304212,0.10822728066957876,0.043291,both
T000469,Paul Tonko,NY,D,house,20,1.0,0.205139616694338,0.794860383305662,0.917944,both
T000486,Ritchie Torres,NY,D,house,15,1.0,0.2388292869813121,0.7611707130186879,0.904468,both
V000081,Nydia M. Velázquez,NY,D,house,7,1.0,0.09346742206438009,0.9065325779356199,0.962613,both
B001306,Troy Balderson,OH,R,house,12,0.0,0.6946567887103303,0.3053432112896697,0.122137,both
B001281,Joyce Beatty,OH,D,house,3,1.0,0.2140159645721014,0.7859840354278986,0.914394,both
D000626,Warren Davidson,OH,R,house,8,0.0,0.6979692736253972,0.3020307263746028,0.120812,both
J000289,Jim Jordan,OH,R,house,4,0.0,0.5387164693052492,0.4612835306947508,0.184513,both
J000295,David P. Joyce,OH,R,house,14,0.5,0.5830874701699521,0.4169125298300479,0.466765,both
K000009,Marcy Kaptur,OH,D,house,9,1.0,0.33302201267377196,0.666977987326228,0.866791,both
L000566,Robert E. Latta,OH,R,house,5,0.0,0.643682210287261,0.356317789712739,0.142527,both
T000463,Michael R. Turner,OH,R,house,10,0.0,0.5280031876574688,0.4719968123425312,0.188799,both
B000740,Stephanie I. Bice,OK,R,house,5,0.0,0.732886375223112,0.26711362477688805,0.106845,both
C001053,Tom Cole,OK,R,house,4,0.0,0.5677086076145501,0.4322913923854499,0.172917,both
H001082,Kevin Hern,OK,R,house,1,0.0,0.6749777012267352,0.32502229877326483,0.130009,both
S378,James Lankford,OK,R,senate,,0.0,0.9360842237794957,0.06391577622050426,0.025566,both
L000491,Frank D. Lucas,OK,R,house,3,0.0,0.5549000113635506,0.4450999886364494,0.17804,both
B000668,Cliff Bentz,OR,R,house,2,0.0,0.6107706138083383,0.3892293861916617,0.155692,both
B001278,Suzanne Bonamici,OR,D,house,1,1.0,0.16809609029250394,0.8319039097074961,0.932762,both
S322,Jeff Merkley,OR,D,senate,,1.0,0.04907464689070332,0.9509253531092967,0.98037,both
S247,Ron Wyden,OR,D,senate,,1.0,0.09465057495751755,0.9053494250424825,0.96214,both
B001296,Brendan F. Boyle,PA,D,house,2,1.0,0.29258689118281744,0.7074131088171826,0.882965,both
D000631,Madeleine Dean,PA,D,house,4,1.0,0.21959999550829207,0.7804000044917079,0.91216,both
E000296,Dwight Evans,PA,D,house,3,1.0,0.12116594169737895,0.8788340583026211,0.951534,both
F000466,Brian K. Fitzpatrick,PA,R,house,1,1.0,0.48531018622454825,0.5146898137754518,0.805876,both
H001085,Chrissy Houlahan,PA,D,house,6,1.0,0.4246569662321476,0.5753430337678525,0.830137,both
J000302,John Joyce,PA,R,house,13,0.0,0.6447509949794054,0.35524900502059464,0.1421,both
K000376,Mike Kelly,PA,R,house,16,0.0,0.7056362205750168,0.29436377942498315,0.117746,both
